#event_id,pid,pt [GeV],eta,phi,E [GeV],mass [GeV],v_true
47,13,194.266,0.154376,-1.27518,196.585,0.10566,0
48,90,392.414,0.388263,3.01043,425.835,54.2489,1
48,90,368.765,1.05563,-0.0727021,594.789,29.9707,0
48,11,35.5581,-1.96409,1.22881,129.23,0.000511,0
49,90,350.1,-1.41804,2.76082,766.201,39.5374,0
49,11,97.2328,-2.23128,-0.445071,457.927,0.000511,0
50,90,547.274,0.548994,2.09772,637.495,84.7336,1
50,13,33.2614,-2.4688,-1.47148,197.788,0.10566,0
51,90,348.067,0.13597,2.41491,351.544,13.3728,0
51,13,189.437,-0.803775,-1.0357,253.997,0.10566,0
52,90,573.493,1.26579,1.20575,1100.29,76.3431,1
52,13,132.211,-0.627379,-2.02876,159.095,0.10566,0
53,90,256.266,1.74929,-2.63505,759.467,23.314,0
53,11,81.9872,1.6918,-0.155065,230.115,0.000511,0
54,90,264.648,-0.20438,-1.78089,290.626,107.044,1
54,11,41.2435,-0.861303,2.73028,57.511,0.000511,0
55,90,321.451,0.412047,1.75326,377.104,142.538,0
55,13,114.31,-1.0985,-0.655148,190.501,0.10566,0
56,90,300.337,1.28087,-1.21785,585.478,61.0195,1
56,11,124.202,1.64429,1.90971,333.513,0.000511,0
57,90,324.995,-0.758816,2.91079,423.661,21.0517,0
57,13,234.485,0.362326,-0.321295,250.046,0.10566,0
58,90,304.389,0.578895,0.280535,357.735,25.4067,0
58,11,188.624,-0.917023,-2.76706,273.651,0.000511,0
59,90,252.297,0.00765171,0.46809,252.401,6.95948,1
59,11,46.8283,-0.437033,2.02444,51.372,0.000511,0
60,90,259.763,-1.06205,-2.29129,436.367,116.376,1
60,11,68.4283,-1.13674,0.500964,117.609,0.000511,0
61,90,285.821,0.437419,-0.166814,326.385,90.4405,1
61,11,128.776,1.80174,2.69094,400.829,0.000511,0
62,90,417.2,1.53494,-2.39778,1013.4,26.0921,0
62,90,540.625,0.461132,1.03855,608.592,106.895,1
62,11,212.56,-0.299026,-2.10842,222.134,0.000511,0
63,90,269.936,-0.564959,2.66644,324.704,82.0241,1
